solverid,instanceid,runtime,status,score,vresult
anders_satsuma-iter-kissat[main],fed1f1b55b33c7e0f8356832d571b0bf,5000.11,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],2d261a19d2754d92da3ddff04fda23c8,5000.12,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],553b056f2651fdc182ca74174aa8ea10,5000.07,solver-timeout,10000.00,
anders_satsuma-iter-kissat[main],e8ccbfaa2762cd0fc22b0ab05bacf529,159.96,sat-verified,159.96,sat
anders_satsuma-iter-kissat[main],09e0775d2b51c49ec1ec4d214ee7c8c8,3990.99,sat-verified,3990.99,sat
anders_satsuma-iter-kissat[main],fd1e0ce3662b9b25d23eb01c6e53a425,3177.49,sat-verified,3177.49,sat
anders_satsuma-iter-kissat[main],f5bb000a2fb23f3a5c19df2b6613cf77,5000.11,solver-timeout,10000.00,
anders_satsuma-iter-kissat[main],75b23436a531bbc4004f43009cb4546e,5000.07,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],0e06895600b5cd0b6fadb87e17bf8145,5000.06,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],46dc5e955b1fb541678d0634389353ac,5000.06,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],87dbc3302b82c09e19c55059fb943191,1537.19,sat-verified,1537.19,sat
anders_satsuma-iter-kissat[main],43d40ced32b5be08814ef24f97379654,0.01,unsat-verified,0.01,unsat
anders_satsuma-iter-kissat[main],f83424f869b61931d720f93e5a12df3c,0.02,unsat-verified,0.02,unsat
anders_satsuma-iter-kissat[main],b9a626da76f235aab854c6ef516b9240,5000.10,solver-timeout,10000.00,
anders_satsuma-iter-kissat[main],0922feab75c35d04d9b8df69013a6df0,27.02,sat-verified,27.02,sat
anders_satsuma-iter-kissat[main],8390dca257561c53bf4eb6e158a2285f,141.26,sat-verified,141.26,sat
anders_satsuma-iter-kissat[main],7db30d12cb06f0dc2f30abff80d96d6a,5000.04,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],166e1e5a9f63fcf94ddae8533fa2a090,477.94,unsat-verified,477.94,unsat
anders_satsuma-iter-kissat[main],6e8dba16e06c793a2daca1fa440eeb4f,330.22,unsat-verified,330.22,unsat
anders_satsuma-iter-kissat[main],d0b5d1dc96a5bf33d2c65106c3b179a8,33.68,unsat-verified,33.68,unsat
